iter	RMSE
0	1386.680563
1	1350.328449
2	1315.058401
3	1282.455386
4	1252.16256
5	1225.622284
6	1201.676942
7	1179.132701
8	1159.623664
9	1142.011029
10	1125.049039
11	1109.009142
12	1094.02445
13	1080.696267
14	1067.999251
15	1056.235924
16	1046.058071
17	1037.543433
18	1030.999675
19	1024.523192
20	1016.78028
21	1010.038215
22	1003.724462
23	998.0292524	992.0301646
25	987.3305054
26	982.7707293
27	979.0238868
28	974.5667298
29	971.5619182
30	968.8583117
31	965.9354371
32	962.8449862
33	960.7303735
34	956.9090831
35	954.710584
36	952.5983058
37	950.7142543
38	948.7985891
39	946.4605284
40	944.2024788
41	942.25011
42	940.2643005
43	938.5345592
44	936.2670663
45	933.9425893
46	932.7799051
47	930.7776467
48	929.4046178
49	928.1317791
50	926.0856284
51	924.4069721
52	923.239513
53	922.5436368
54	920.9724032
55	919.9829273
56	918.7347766
57	917.5812943
58	915.7321657
59	914.7067808
60	913.6432373
61	912.1226034
62	911.1015771
63	909.7589508
64	908.6938656
65	907.2805923
66	906.4973537
67	904.7388777
68	904.0100721
69	903.1298488
70	902.1582933
71	900.5062436
72	899.1779638
73	897.9322114
74	897.1984199
75	896.2482838
76	895.3519692
77	894.5131504
78	893.5073892
79	892.9382749
80	892.2335091
81	891.2537794
82	890.0401854
83	889.1047013
84	887.8773635
85	887.153104
86	886.6319486
87	885.8427441
88	884.8571002
89	884.2650916
90	883.0492178
91	882.6669
92	882.0388102
93	881.5140266
94	881.185361
95	880.7161434
96	879.9373363
97	879.485195
98	879.0573544
99	878.6606265
100	877.5488899
101	876.2829644
102	875.3176741
103	874.6010011
104	873.9619033
105	873.2468753
106	872.768557
107	872.4095367
108	871.9457805
109	871.258846
110	870.5572377
111	869.9942853
112	869.1558909
113	868.7186678
114	868.2254096
115	867.5556839
116	866.6918842
117	865.849035
118	865.3161844
119	864.965702
120	864.5337101
121	864.0804735
122	863.5446203
123	863.0049835
124	861.9788543
125	861.6063042
126	861.14643
127	860.8972162
128	860.333602
129	859.8472189
130	859.3440259
131	858.8759723
132	858.0016513
133	857.2727696
134	856.582221
135	856.1585886
136	855.8346281
137	855.0651258
138	854.4763857
139	853.9613551
140	853.5292215
141	853.0925803
142	852.5493696
143	852.1810562
144	851.4788818
145	851.1231654
146	850.5998256
147	850.3662227
148	849.889723
149	849.3013348
150	848.8319128
151	848.3354521
152	847.8714583
153	846.9749048
154	846.1273359
155	845.8641528
156	845.4491238
157	844.9066467
158	844.3084099
159	843.5823766
160	842.9576415
161	842.4762045
162	842.0448221
163	841.6732805
164	841.0995261
165	840.1416294
166	839.7551872
167	839.4976862
168	839.2047324
169	838.9860699
170	838.5276426
171	838.0595145
172	837.7658077
173	837.2637671
174	836.8265942
175	836.291643
176	835.6335115
177	835.2421966
178	834.9776023
179	834.5600753
180	834.129429
181	833.8609801
182	833.3941637
183	832.9691888
184	832.0777364
185	831.8666642
186	831.4110407
187	831.1456358
188	830.8043364
189	830.3318342
190	829.928272
191	829.4752297
192	828.8595615
193	828.5833612
194	828.1355427
195	827.7072206
196	827.2553801
197	826.9091455
198	826.458519
199	825.882281
200	825.5011007
201	824.9502086
202	824.7088852
203	824.1622778
204	823.7227684
205	823.2958259
206	822.8970325
207	822.5342015
208	822.2598422
209	821.9220098
210	820.8224589
211	820.5045818
212	820.039192
213	819.5494574
214	819.2787135
215	818.7746539
216	818.4373128
217	818.1468968
218	817.9209204
219	817.4827944
220	817.0241723
221	816.5991555
222	816.2349472
223	815.7672733
224	815.3143567
225	814.8087397
226	814.341805
227	814.0757307
228	813.6481079
229	813.3138109
230	813.0105972
231	812.4657387
232	812.131766
233	811.710042
234	811.3269318
235	810.9441037
236	810.4506819
237	809.7020722
238	809.3827721
239	809.0822494
240	808.6589519
241	808.3023229
242	807.6337096
243	807.0875649
244	806.6926209
245	806.289067
246	805.9812626
247	805.7204606
248	805.4616091
249	805.1485657
250	804.662908
251	804.1894767
252	803.9175372
253	803.5196445
254	803.3334588
255	802.9847795
256	802.8093047
257	802.2491171
258	801.7386674
259	801.3199899
260	800.9072393
261	800.6397123
262	800.2080874
263	799.8820296
264	799.6074186
265	799.2537014
266	799.0419079
267	798.7155788
268	798.3563728
269	797.5395234
270	797.0745999
271	796.7433677
272	796.6341198
273	796.3187503
274	796.0939737
275	795.8234555
276	795.385156
277	795.0719787
278	794.7309785
279	794.3195258
280	793.9110129
281	793.7185306
282	793.2556787
283	793.0084151
284	792.7846039
285	792.4663149
286	792.0923075
287	791.8247882
288	791.4698707
289	791.2764064
290	790.875276
291	790.6466194
292	790.4206257
293	790.1479274
294	789.9460834
295	789.4855853
296	789.152821
297	788.6092389
298	788.3725016
299	788.0365012
300	787.6229445
301	787.1960915
302	786.6802585
303	786.4467214
304	786.0094729
305	785.6569072
306	785.0900946
307	784.842157
308	784.6691506
309	784.2420572
310	783.7867227
311	783.457627
312	783.3217555
313	783.0537483
314	782.8717661
315	782.6170933
316	782.4142303
317	782.2429006
318	781.9965765
319	781.8015576
320	781.383241
321	781.1313195
322	780.934028
323	780.4563296
324	780.2273852
325	779.8189231
326	779.2910007
327	778.9052918
328	778.5940442
329	778.2300359
330	777.9895168
331	777.4178663
332	777.1252419
333	776.9568272
334	776.6107939
335	776.1920006
336	775.9361158
337	775.5565085
338	775.4054073
339	774.8834491
340	774.5849979
341	774.4099176
342	773.8730598
343	773.6762785
344	773.4320565
345	773.1577529
346	772.9077498
347	772.6043758
348	772.3267316
349	772.1259052
350	771.8612341
351	771.6307298
352	770.980368
353	770.7453519
354	770.4841236
355	770.2708897
356	770.0934884
357	769.9065766
358	769.6331988
359	769.2793195
360	769.1180031
361	768.880715
362	768.7341811
363	768.3565328
364	767.9651738
365	767.5047965
366	767.3538736
367	767.1112243
368	766.9013073
369	766.7716421
370	766.5181621
371	766.2139471
372	766.0696443
373	765.6755008
374	765.4632104
375	765.2577719
376	764.9155727
377	764.5401203
378	764.1892396
379	763.9875432
380	763.6260664
381	763.3981566
382	762.962685
383	762.7238746
384	762.3673015
385	762.1805933
386	761.9847185
387	761.7512536
388	761.4058277
389	761.2800272
390	760.8612822
391	760.6189595
392	760.3840238
393	760.0537856
394	759.8957782
395	759.5852993
396	759.3222954
397	759.1194728
398	758.7763374
399	758.1835484
400	757.948453
401	757.7268859
402	757.4896012
403	757.2232927
404	756.9863761
405	756.769862
406	756.3592467
407	756.0483892
408	755.9016159
409	755.7488976
410	755.4744598
411	755.078281
